Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
ahsen-6-person-tea-set,Ahsen 6 Person Tea Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-002-K6-18,16101,shopify,12,deny,manual,11.14,,true,true,BSM069,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
ahsen-6-person-tea-set,,,,,,,,,Silver,,,,,12-002-K6-11,16101,shopify,12,deny,manual,11.14,,true,true,BSM067,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
ahsen-coffee-cup-set-of-6-persons,Ahsen Coffee Cup Set Of 6 Persons ,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-003-KK6-18,20000,shopify,12,deny,manual,29.77,,true,true,BSM077,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
ahsen-coffee-cup-set-of-6-persons,,,,,,,,,Silver,,,,,12-003-KK6-11,20000,shopify,12,deny,manual,29.77,,true,true,BSM076,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
ahsen-tiryaki-mix-design-coffee-set,Ahsen Tiryaki Mix Design Coffee Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-004-K6-DSNMİX-18,16600,shopify,12,deny,manual,25.72,,true,true,BSM088,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
ahsen-tiryaki-mix-design-coffee-set,,,,,,,,,Silver,,,,,12-004-K6-DSNMİX-11,16600,shopify,12,deny,manual,25.72,,true,true,BSM087,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
ahu-6-person-tea-set,Ahu 6 Person Tea Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-012-K6-18,16850,shopify,12,deny,manual,20.14,,true,true,BSM136,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
ahu-6-person-tea-set,,,,,,,,,Silver,,,,,12-012-K6-11,16850,shopify,12,deny,manual,20.14,,true,true,BSM135,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
ahu-tiryaki-mix-design-coffee-set,Ahu Tiryaki Mix Design Coffee Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-010-K6-DSNMİX-18,15800,shopify,12,deny,manual,25.85,,true,true,BSM127,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
ahu-tiryaki-mix-design-coffee-set,,,,,,,,,Silver,,,,,12-010-K6-DSNMİX-11,15800,shopify,12,deny,manual,25.85,,true,true,BSM126,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
ahu-tray-with-tea-set,Ahu Tray With Tea Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,15-012-K6-18,15000,shopify,6,deny,manual,9.19,,true,true,BSM181,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
ahu-tray-with-tea-set,,,,,,,,,Silver,,,,,15-012-K6-11,15000,shopify,6,deny,manual,9.19,,true,true,BSM180,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
blend-tray-with-tea-set,Blend Tray With Tea Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,15-014-K6-18,15000,shopify,6,deny,manual,9.86,,true,true,BSM196,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
blend-tray-with-tea-set,,,,,,,,,Silver,,,,,15-014-K6-11,15000,shopify,6,deny,manual,9.86,,true,true,BSM195,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
bridegroom-seljuk-single-presentation-set,Bridegroom Seljuk Single Presentation Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,15-015-K-18,12000,shopify,20,deny,manual,8.16,,true,true,BSM288,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
bridegroom-seljuk-single-presentation-set,,,,,,,,,Silver,,,,,15-015-K-11,12000,shopify,20,deny,manual,8.16,,true,true,BSM287,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
bridegroom-single-presentation-set,Bridegroom Single Presentation Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,15-010-K-18,12000,shopify,20,deny,manual,24.82,,true,true,BSM324,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
bridegroom-single-presentation-set,,,,,,,,,Silver,,,,,15-010-K-11,12000,shopify,20,deny,manual,24.82,,true,true,BSM323,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
coffee-set-with-round-tray,Coffee Set With Round Tray,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,18-003-SKK6-18,11500,shopify,5,deny,manual,10.25,,true,true,BSM183,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
coffee-set-with-round-tray,,,,,,,,,Silver,,,,,18-003-SKK6-11,11500,shopify,5,deny,manual,10.25,,true,true,BSM182,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
colored-coffee-cup-set,Colored Coffee Cup Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-001-K6-DSNKTM-18,15500,shopify,12,deny,manual,28.02,,true,true,BSM064,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
colored-coffee-cup-set,,,,,,,,,Silver,,,,,12-001-K6-DSNKTM-11,15500,shopify,12,deny,manual,28.02,,true,true,BSM063,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
double-presentation-black-coffee-set,Double Presentation Black Coffee Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,15-010-SK2-18,15750,shopify,12,deny,manual,16.12,,true,true,BSM286,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
double-presentation-black-coffee-set,,,,,,,,,Silver,,,,,15-010-SK2-11,15750,shopify,12,deny,manual,16.12,,true,true,BSM281,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
double-presentation-coffee-set,Double Presentation Coffee Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,15-010-K2-18,15750,shopify,12,deny,manual,10.34,,true,true,BSM322,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
double-presentation-coffee-set,,,,,,,,,Silver,,,,,15-010-K2-11,15750,shopify,12,deny,manual,10.34,,true,true,BSM321,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
eylül-black-coffee-set,Eylül Black Coffee Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-020-SK6-18,24600,shopify,12,deny,manual,19.81,,true,true,BSM552,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
lal-mix-design-coffee-set,Lal Mix Design Coffee Set ,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-007-K6-DSNMİX-18,21350,shopify,12,deny,manual,22.66,,true,true,BSM109,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
lal-mix-design-coffee-set,,,,,,,,,Silver,,,,,12-007-K6-DSNMİX-11,21350,shopify,12,deny,manual,22.66,,true,true,BSM108,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
large-size-delight-case,Large Size Delight Case,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,13-002-18,9100,shopify,60,deny,manual,28.5,,true,true,BSM148,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
large-size-delight-case,,,,,,,,,Silver,,,,,13-002-11,9100,shopify,60,deny,manual,28.5,,true,true,BSM145,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
nisa-coffee-set,Nisa Coffee Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-018-K6-DSNKTM-18,21150,shopify,12,deny,manual,23.21,,true,true,BSM538,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
nisa-coffee-set,,,,,,,,,Silver,,,,,12-018-K6-DSNKTM-19,21150,shopify,12,deny,manual,23.21,,true,true,BSM539,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
oval-delight-case,Oval Delight Case,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,13-003-18,16200,shopify,100,deny,manual,8.9,,true,true,BSM150,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
oval-delight-case,,,,,,,,,Silver,,,,,13-003-11,16200,shopify,100,deny,manual,8.9,,true,true,BSM149,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
sefa-6-person-tea-set,Sefa 6 Person Tea Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-006-K6-18,18550,shopify,9,deny,manual,22.11,,true,true,BSM099,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
sefa-6-person-tea-set,,,,,,,,,Silver,,,,,12-006-K6-11,18550,shopify,9,deny,manual,22.11,,true,true,BSM098,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
stony-ahsen-tea-set-of-6-persons,Stony Ahsen Tea Set Of 6 Persons ,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-002-KTŞ6-18,18000,shopify,12,deny,manual,20.89,,true,true,BSM252,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
stony-ahsen-tea-set-of-6-persons,,,,,,,,,Silver,,,,,12-002-KTŞ6-11,18000,shopify,12,deny,manual,20.89,,true,true,BSM251,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
tow-floor-presentation-set,Tow Floor Presentation Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,14-011-K-18,10200,shopify,6,deny,manual,8.71,,true,true,BSM475,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
tray-for-2-persons,Tray For 2 Persons,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,11-006-2-18,10200,shopify,25,deny,manual,28.8,,true,true,BSM192,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
tray-for-2-persons,,,,,,,,,Silver,,,,,11-006-2-11,10200,shopify,25,deny,manual,28.8,,true,true,BSM191,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
tray-for-6-persons,Tray For 6 Persons ,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,11-001-6-18,32000,shopify,40,deny,manual,21.02,,true,true,BSM012,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
tray-for-6-persons,,,,,,,,,Silver,,,,,11-001-6-11,32000,shopify,40,deny,manual,21.02,,true,true,BSM011,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
two-floor-porcelain-mirra-presentation-set,Two Floor Porcelain Mirra Presentation Set,,Elite Turkish Brands,,,,TRUE,Color,Silver,,,,,14-011-K-19,10200,shopify,6,deny,manual,14.83,,true,true,BSM472,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
wavy-round-tray,Wavy Round Tray,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,11-004-6-18,27200,shopify,50,deny,manual,9.96,,true,true,BSM053,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
wavy-round-tray,,,,,,,,,Silver,,,,,11-004-6-11,27200,shopify,50,deny,manual,9.96,,true,true,BSM051,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
